Name,Gen,Gen2,Description,Note,NameStar,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Old Charm,4,,Cynthia asks the player to deliver to Celestic Town. Is made of Pokémon bones.,,FALSE,こだいのおまもり,Kodai no Omamori,Vieux Grigri,Talisman,Arcamuleto,Talismán,고대의부적,Godae-ui Bujeok,古代護符 / 古代护符,Gǔdài Hùfú / Gúdoih Wuhfùh,0
Meadow Plate,4,,Raises the power of Grass-type moves.,,FALSE,みどりのプレート,Midori no Purēto,Plaque Herbe,Wiesentafel,Lastraprato,Tabla Pradal,초록플레이트,Chorok Plate,碧綠石板 / 碧绿石板,Bìlǜ Shíbǎn / Bīkluhk Sehkbáan,0
Touga Berry,3,,"Cures Confusion. If transferred to Generation IV via Pal Park, it will turn into an Enigma Berry.",,FALSE,,,,,,,,,,,
Timer Ball,3,,A type of Poké Ball that works better the longer the battle has lasted.,,FALSE,タイマーボール,Timer Ball,Chrono Ball,Timerball,Timer Ball,Turno Ball,타이마볼,Timer Ball,計時球 / 计时球,Jìshí Qiú / Gaisìh Kàuh,0
Sachet,6,,Allows Spritzee to evolve when traded.,,FALSE,においぶくろ,Nioi Bukuro,Sachet Senteur,Duftbeutel,Bustina Aromi,Saquito Fragante,향기주머니,Hyang-gi Jumeoni,香袋,Xiāngdài / Hēungdoih,0
Go-Goggles,3,,"A Key Item that allows the player to travel in sandstorm conditions. Unnecessary in Generations IV and V, as the player may enter sandstorm conditions without protection.",,FALSE,ゴーゴーゴーグル,Go Go Goggle,Lunettes Sable,Wüstenglas,Occhialoni,Gafas Aislantes,고고고글,Go-Go Goggle,ＧＯＧＯ護目鏡 / ＧＯＧＯ护目镜,GOGO Hù Mùjìng / GOGO Wuh Muhkgeng,0
Fighting Gem,5,,"Increases the power of the holder's first Fighting-type move by 50%, and is consumed after use.",,FALSE,かくとうジュエル,Kakutō Jewel,Joyau Combat,Kampfjuwel,Bijoulotta,Gema Lucha,격투주얼,Gyeoktu Jewel,格鬥寶石 / 格斗宝石,Gédòu Bǎoshí / Gaakdau Bóusehk,16
Pinsirite,6,,Allows Pinsir to Mega Evolve into Mega Pinsir.,,FALSE,カイロスナイト,Kailiosnite,Scarabruite,Pinsirnit,Pinsirite,Pinsirita,쁘사이저나이트,Ppeusaizeonite,凱羅斯進化石 / 凯罗斯进化石,Kǎiluósī Jìnhuà Shí / Hóilòhsī Jeunfa Sehk,0
Bubble Mail,4,,Stationery with a bubble print. To be held by a Pokémon for delivery.,,FALSE,ブルーメール,Blue Mail,Lettre Mer,Wasserbrief,Mess. Bolla,Carta Pompas,블루메일,Blue Mail,,,0
U-Disk,3,,Moves the UFO in The Under to Pyrite Town's windmill.,,FALSE,Ｕ－ディスク,U-Disk,Disque-H,O-Disc,Disco Su,Disco S,,,,,0
Shadow Mail,3,,Mail with a picture of Duskull. To be held by a Pokémon for delivery.,,FALSE,シャドーメール,Shadow Mail,Lettre Ombre,Dunkelbrief,Mess. Ombra,Carta Sombra,,,,,0
Choice Band,3,,"Raises user's Attack, but they can only use one move.",,FALSE,こだわりハチマキ,Kodawari Hachimaki,Bandeau Choix,Wahlband,Bendascelta,Cinta Elegida,구애머리띠,Guae Meoritti,講究頭帶 / 讲究头带,Jiǎngjiù Tóudài / Gónggau Tàuhdaai,144
Krane Memo 4,3,,Contains information about purification.,,FALSE,クレインメモ４,Krane Memo 4,Memo Syrus 4,Klein-Memo 4,Appunti 4,Parte Cío 4,,,,,0
Point Card,4,,Stores Battle Points (BP) earned at the Battle Tower or Battle Frontier.,,FALSE,ポイントカード,Point Card,Carte Points,Punktekarte,Scheda Punti,Tarj. Puntos,포인트카드,Point Card,點數卡 / 点数卡,Diǎnshù Kǎ / Dímsou Kāat,0
Spelon Berry,3,,Pokéblock and Poffin ingredient.,,FALSE,ノワキのみ,Nowaki no Mi,Baie Kiwan,Kiwanbeere,Baccamelos,Baya Wikano,메호키열매,Mehoki Yeolmae,刺角果,Cìjiǎo Guǒ / Chigok Gwó,0
Poison Gem,5,,"Increases the power of the holder's first Poison-type move by 50%, and is consumed after use.",,FALSE,どくのジュエル,Doku no Jewel,Joyau Poison,Giftjuwel,Bijouveleno,Gema Veneno,독주얼,Dok Jewel,毒之寶石 / 毒之宝石,Dú-zhī Bǎoshí / Duhk-jī Bóusehk,16
Dread Plate,4,,Raises the power of Dark-type moves.,,FALSE,こわもてプレート,Kowamote Purēto,Plaque Ombre,Furchttafel,Lastratimore,Tabla Oscura,공포플레이트,Gongpo Plate,惡顏石板 / 恶颜石板,È'yán Shíbǎn / Okngàahn Sehkbáan,0
Lock Capsule,5,,Not available without cheating. Can be relocated from HeartGold or Soul Silver to obtain TM95 (Snarl).,,FALSE,ロックカプセル,Lock Capsule,Capsule Anti-vol,Tresorkapsel,Cap. Scrigno,Cáp. Candado,록캡슐,Lock Capsule,上鎖的容器 / 上锁的容器,Shàngsuǒ-de Róngqì / Séuhngsó-dīk Yùhnghei,0
Salac Berry,3,,Raises Speed when HP is below ⅓ of maximum.,,FALSE,カムラのみ,Camula no Mi,Baie Sailak,Salkabeere,Baccasalak,Baya Aslac,캄라열매,Kamra Yeolmae,沙鱗果 / 沙鳞果,Shālín Guǒ / Sālèuhn Gwó,0
Pokédex,1,,Stores info about Pokémon that have been seen/caught.,,TRUE,,,,,,,,,,,
Persim Berry,3,,Cures confusion.,,FALSE,キーのみ,Kī no Mi,Baie Kika,Persimbeere,Baccaki,Baya Caquic,시몬열매,Simmon Yeolmae,柿仔果,Shìzǐ Guǒ / Chíhjái Gwó,0
Zap Plate,4,,Raises the power of Electric-type moves.,,FALSE,いかずちプレート,Ikazuchi Purēto,Plaque Volt,Blitztafel,Lastrasaetta,Tabla Trueno,우뢰플레이트,Uroe Plate,雷電石板 / 雷电石板,Léidiàn Shíbǎn / Lèuihdihn Sehkbáan,0
Binding Band,5,,Increases the end of turn damage of partially trapping moves from 1/16 to ⅛ of the target's maximum HP.,,FALSE,しめつけバンド,Shimetsuke Band,Bande Étreinte,Klammerband,Legafascia,Banda Atadura,조임밴드,Joim Band,緊綁束帶 / 紧绑束带,Jǐnbǎng Shùdài / Gánbóng Chūkdáai,144
Rock Gem,5,,"Increases the power of the holder's first Rock-type move by 50%, and is consumed after use.",,FALSE,いわのジュエル,Iwa no Jewel,Joyau Roche,Gesteinsjuwel,Bijouroccia,Gema Roca,바위주얼,Bawi Jewel,岩石寶石 / 岩石宝石,Yánshí Bǎoshí / Ngàahmsehk Bóusehk,80
Machine Part,2,,The missing part from the Power Plant.,,FALSE,"きかいのぶひん
マシンパーツ","Kikai no Buhin
Machine Part","Partie de Machine
Piece Meca.","Spule
Ersatzteil","Pezzo macch.
Meccanismo","Maquinaria
Pieza Esp.",기계부품,Gigye Bupum,機械零件 / 机械零件,Jīxiè Língjiàn / Gēihaaih Lìhnggín,0
X Attack 3,5,,Drastically raises a Pokémon's Attack. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Shed Shell,4,,Allows the holder to escape from battle.,,FALSE,きれいなぬけがら,Kirei-na Nukegara,Carapace Mue,Wechselhülle,Disfoguscio,Muda Concha,아름다운허물,Areumdaun Heomul,美麗空殼 / 美丽空壳,Měilì Kōngké / Méihlaih Hūnghok,0
Passho Berry,4,,Reduces damage from a super effective Water-type move.,,FALSE,イトケのみ,Itoke no Mi,Baie Pocpoc,Foepasbeere,Baccapasflo,Baya Pasio,꼬시개열매,Kkosigae Yeolmae,千香果,Qiānxiāng Guǒ / Chīnhēung Gwó,0
Photo Album,,,,,,フォトアルバム,Photo Album,Album Photo,Fotoalbum,Album,Álbum,포토앨범,Photo Album,"相簿*
相册","Xiàngbù / Séungbóu*
Xiàngcè",3
Pink Apricorn,2,,Kurt will make a Love Ball out of it.,Formatted as Pnk Apricorn prior to Generation VI.,FALSE,ももぼんぐり,Momo Bonguri,Noigrume Ros,Aprikoko Pnk,Ghicocca Rosa,Bonguri Rosa,담홍규토리,Damhong Gyutori,粉球果,Fěn Qiúguǒ / Fán Kàuhgwó,1072
Ultranecrozium Z,7,,"Allows Necrozma to transform into Ultra Necrozma after fusing with Solgaleo or Lunala, also upgrades Photon Geyser to the special Z-Move Light That Burns the Sky as Ultra Necrozma.",,FALSE,ウルトラネクロＺ,Ultranecro-Z,Ultranécrozélite,Ultranecrozium Z,Ultranecrozium Z,Ultranecrostal Z,울트라네크로Z,Ultranecro-Z,究極奈克洛Ｚ / 究极奈克洛Ｚ,Jiūjí Nàikèluò-Z / Gaugihk Noihhāklok-Z,0
Metal Powder,2,,Raises Ditto's Defense.,,FALSE,メタルパウダー,Metal Powder,Poudre Metal,Metallstaub,Metalpolvere,Polvo Metálico,금속파우더,Geumsok Powder,金屬粉 / 金属粉,Jīnshǔ Fěn / Gāmsuhk Fán,0
Water Memory,7,,Makes Silvally a Water-type Pokémon and makes Multi-Attack a Water-type move.,,FALSE,ウオーターメモリ,Water Memory,ROM Eau,Wasser-Disc,ROM Acqua,Disco Agua,워터메모리,Water Memory,"清水記憶碟*
清水存储碟","Qīngshuǐ Jìyìdié / Chīngséui Geiyīkdihp*
Qīngshuǐ Cúnchǔdié",3
Rock Memory,7,,Makes Silvally a Rock-type Pokémon and makes Multi-Attack a Rock-type move.,,FALSE,ロックメモリ,Rock Memory,ROM Roche,Gesteins-Disc,ROM Roccia,Disco Roca,락메모리,Rock Memory,"岩石記憶碟*
岩石存储碟","Yánshí Jìyìdié / Ngàahmsehk Geiyīkdihp*
Yánshí Cúnchǔdié",3
D-Disk,3,,Moves the UFO in The Under downward into Deep Colosseum.,,FALSE,Ｄ－ディスク,D-Disk,Disque-B,U-Disc,Disco Giù,Disco B,,,,,0
Poké Snack,,,,,,ポケまんま,Poké Manma,Poké Snack,Pokésnack,Poké Snack,Poké Dulce,,,,,0
TM Case,3,,Holds TMs.,,FALSE,わざマシンケース,Waza Machine Case,Boite CT,VM/TM Box,Porta MT-MN,Tubo MT-MO,기술머신케이스,Gisul Machine Case,招式學習器盒 / 招式学习器盒,Zhāoshì Xuéxíqì Hé / Jīusīk Hohkjaahphei Hahp,0
Fairy Gem,6,,"Increases the power of the holder's first Fairy-type move by 50%, and is consumed after use.",,FALSE,フェアリージュエル,Fairy Jewel,Joyau Fée,Feenjuwel,Bijoufolletto,Gema Hada,페어리주얼,Fairy Jewel,妖精寶石 / 妖精宝石,Yāojing Bǎoshí / Yīujīng Bóusehk,0
Damp Rock,4,,Increases the duration of heavy rain.,,FALSE,しめったいわ,Shimetta Iwa,Roche Humide,Nassbrocken,Rocciaumida,Roca Lluvia,축축한바위,Chukchukhan Bawi,潮濕岩石 / 潮湿岩石,Cháoshī Yánshí / Chìuhsāp Ngàahmsehk,0
Flame Mail,4,,Mail with a fire design. To be held by a Pokémon for delivery.,,FALSE,フレイムメール,Flame Mail,Lettre Feu,Feuerbrief,Mess. Fiamma,Carta Fuego,플레임메일,Flame Mail,,,0
Surf Mail,2,,Mail with a Lapras pattern. To be held by a Pokémon for delivery.,,FALSE,なみのりメール,Naminori Mail,Lettre Surf,Surferbrief,Mess. Surf,Carta Surf,파도타기메일,Padotagi Mail,,,0
Kelpsy Berry,3,,"Raises friendship, but lowers Attack EV.",,FALSE,ネコブのみ,Nekobu no Mi,Baie Alga,Setangbeere,Baccalga,Baya Algama,시마열매,Sima Yeolmae,藻根果,Zǎogēn Guǒ / Jóugān Gwó,0
Sticky Barb,4,,Damages the holder. May latch onto the foe if a physical move is used and the foe is not already holding an item.,,FALSE,くっつきバリ,Kuttsuki Bari,Piquants,Klettdorn,Vischiopunta,Toxiestrella,끈적끈적바늘,Kkeunjeokkkeunjeok Baneul,附著針 / 附着针,Fùzhuó Zhēn / Fuhjeuhk Jām,0
Lax Incense,3,,Lowers the foe's accuracy. A Wobbuffet holding it can breed to produce a Wynaut.,,FALSE,のんきのおこう,Nonki no Okou,Encens Doux,Laxrauch,Distraroma,Incienso suave,무사태평향로,Musataepyeong Hyangno,悠閒薰香 / 悠闲薰香,Yōuxián Xūnxiāng / Yàuhhàahn Fānhēung,16
Thunder Stone,1,,"Can be used to evolve Pikachu into Raichu, Eevee into Jolteon, and Eelektrik to Eelektross.",Formatted as Thunderstone prior to Generation VI.,FALSE,かみなりのいし,Kaminari no Ishi,Pierre Foudre,Donnerstein,Pietratuono,Piedra Trueno,천둥의돌,Cheondung-ui Dol,雷之石,Léi-zhī Shí / Lèuih-jī Sehk,1168
Revive,1,,Revives a Pokémon to half of maximum HP.,,FALSE,げんきのかけら,Genki no Kakera,Rappel,Beleber,Revitalizzante,Revivir,기력의조각,Giryeog-ui Jogak,活力碎片,Huólì Suìpiàn / Wuhtlihk Seuipín,32
Razz Berry,3,,Pokéblock and Poffin ingredient.,,FALSE,ズリのみ,Zuri no Mi,Baie Framby,Himmihbeere,Baccalampon,Baya Frambu,라즈열매,Ras Yeolmae,蔓莓果,Mànméi Guǒ / Màahnmùih Gwó,0
Ruby,3,,"Give to Celio along with Sapphire to set up the Network Machine of the Pokémon Network Center. It allows the player to trade with Ruby, Sapphire, and Emerald.",,FALSE,ルビー,Ruby,Rubis,Rubin,Rubino,Rubí,,,,,0
Holo Caster,6,,Allows the player to view hologram clips and communicate with others.,,FALSE,ホロキャスター,Holo Caster,Holokit,Holo-Log,Holovox,Holomisor,홀로캐시터,Holo Caster,"全像投影通訊器*
全息影像通讯器","Quánxiàng Tóuyǐng Tōngxùn Qì / Chyùhnjeuhng Tàuhyíng Tūngseun Hei*
Quánxī Yǐngxiàng Tōngxùn Qì",3
Super Rod,1,,Can be used next to or while Surfing on water to encounter high-level wild aquatic Pokémon.,,FALSE,すごいつりざお,Sugoi Tsurizao,Mega Canne,Superangel,Super Amo,Supercaña,대단한낚싯대,Daedanhan Naksitdae,厲害釣竿 / 厉害钓竿,Lìhài Diàogān / Laihhoih Diugōn,16
Enigma Berry,3,,Restores ¼ of a Pokémon's HP after being hit by a super effective.,,FALSE,ナゾのみ,Nazo no Mi,Baie Enigma,Enigmabeere,Baccaenigma,Baya Enigma,의문열매,Uimun Yeolmae,謎芝果 / 谜芝果,Mízhī Guǒ / Màihjī Gwó,0
Slowpoke Tail,2,,Can be sold for 4900.,Formatted as SlowpokeTail prior to Generation VI.,FALSE,おいしいシッポ,Oishii Shippo,Queueramolos,Flegmonrute,Codaslowpoke,Colaslowpoke,맛있는꼬리,Masinneun Kkori,美味尾巴,Měiwèi Wěiba/Měiwèi Yǐba / Méihmeih Méihbā,1024
Red ID Badge,3,,One of four keys needed to open the front door of Realgam Tower.,,FALSE,ＩＤバッジあか,ID Badge Aka,Passe Rouge,Rote ID-Marke,Pass Rosso,Pase Rojo,,,,,0
Carbos,1,,Raises the Speed of a Pokémon.,,FALSE,インドメタシン,Indometacin,Carbone,Carbon,Carburante,Carburante,알칼로이드,Alkaloid,速度增強劑 / 速度增强剂,Sùdù Zēngqiángjì / Chūkdouh Jāngkèuhngjaih,0
Stone Plate,4,,Raises the power of Rock-type moves.,,FALSE,がんせきプレート,Ganseki Purēto,Plaque Roc,Steintafel,Lastrapietra,Tabla Pétrea,암석플레이트,Amseok Plate,岩石石板,Yánshí Shíbǎn / Ngàahmsehk Sehkbáan,0
Net Ball,3,,A type of Poké Ball that works better on Water- and Bug-type Pokémon.,,FALSE,ネットボール,Net Ball,Filet Ball,Netzball,Rete Ball,Malla Ball,넷트볼,Net Ball,捕網球 / 捕网球,Bǔwǎng Qiú / Bouhmóhng Kàuh,0
X Accuracy 3,5,,Drastically raises a Pokémon's accuracy. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Suite Key,4,,Give to NPC in exchange for Lava Cookie.,,FALSE,ルームキー,Room Key,Clé Chambre,B-Schlüssel,Chiave Suite,Llave Suite,룸키,Room Key,房間鑰匙 / 房间钥匙,Fángjiān Yàoshi / Fòhnggāan Yeuhksìh,0
Nest Ball,3,,A type of Poké Ball that works better on low-level Pokémon.,,FALSE,ネストボール,Nest Ball,Faiblo Ball,Nestball,Minor Ball,Nido Ball,네스트볼,Nest Ball,巢穴球,Cháoxuè Qiú / Chàauhyuht Kàuh,0
Honor of Kalos,6,,Proof of defeating Team Flare and becoming Champion of the Kalos Pokémon League.,,FALSE,カロスエンブレム,Kalos Emblem,Insigne de Kalos,Kalos-Emblem,Emblema di Kalos,Emblema de Kalos,칼로스엠블럼,Kalos Emblem,卡洛斯勳章 / 卡洛斯勋章,Kǎluòsī Xūnzhāng / Kāloksī Fānjēung,0
Shock Drive,5,,Makes Techno Blast an Electric-type move when held by Genesect.,,FALSE,イナズマカセット,Inazuma Cassette,Module Choc,Blitzmodul,Voltmodulo,FulgoROM,번개카세트,Beongae Cassette,閃電卡帶 / 闪电卡带,Shǎndiàn Kǎdài / Símdihn Kāatdáai,0
Grass Gem,5,,"Increases the power of the holder's first Grass-type move by 50%, and is consumed after use.",,FALSE,くさのジュエル,Kusa no Jewel,Joyau Plante,Pflanzenjuwel,Bijouerba,Gema Planta,풀주얼,Pul Jewel,草之寶石 / 草之宝石,Cǎo-zhī Bǎoshí / Chóu-jī Bóusehk,80
Safety Goggles,6,,Grants the holder immunity to weather-related damage and powder moves.,,FALSE,ぼうじんゴーグル,Bōjin Goggle,Lunettes Filtre,Schutzbrille,Visierantisabbia,Gafa Protectora,방진고글,Bangjin Goggle,防塵護目鏡 / 防尘护目镜,Fángchén Hù Mùjìng / Fòhngchàhn Wuh Muhkgeng,0
Old Gateau,4,,Cures any status condition.,,FALSE,もりのヨウカン,Mori no Yōkan,Vieux Gâteau,Spezialität,Dolce Gateau,Barrita Plus,숲의양갱,Sup-ui Yanggaeng,森之羊羹,Sēn-zhī Yánggēng / Sām-jī Yèuhnggāng,0
Level Ball,2,,A type of Poké Ball that works better on Pokémon with a lower level than the player's.,,FALSE,レベルボール,Level Ball,Niveau Ball,Levelball,Level Ball,Nivel Ball,레벨볼,Level Ball,等級球 / 等级球,Děngjí Qiú / Dángkāp Kàuh,0
Fab Mail,3,,Mail with an extremely decorative design. To be held by a Pokémon for delivery.,,FALSE,ミラクルメール,Miracle Mail,Lettre Cool,Edelbrief,Mess. Fab,Carta Fabulosa,,,,,0
Sky Plate,4,,Raises the power of Flying-type moves.,,FALSE,あおぞらプレート,Aozora Purēto,Plaque Ciel,Wolkentafel,Lastracielo,Tabla Cielo,푸른하늘플레이트,Pureun Haneul Plate,藍天石板 / 蓝天石板,Lántiān Shíbǎn / Làahmtīn Sehkbáan,0
Black Flute,3,,Repels wild Pokémon.RSEFRLGDPPtHGSS Can be sold for 8000.BWB2W2 Increases the level of wild Pokémon by one to three levels.ORAS,,FALSE,くろいビードロ,Kuroi Vidro,Flûte Noire,Schw. Flöte,Flauto Nero,Flauta Negra,검정비드로,Geomjeong Vidro,黑色玻璃哨,Hēi-sè Bōlí Shào / Hāak-sīk Bōlèih Saau,0
Zygarde Cube,7,,Holds collected Zygarde Cores and Cells and teaches Zygarde moves.,,FALSE,ジガルデキューブ,Zygarde Cube,Boîte Zygarde,Zygarde-Würfel,Teca Zygarde,Arca de Zygarde,지가르데큐브,Zygarde Cube,基格爾德多面體 / 基格尔德多面体,Jīgé'ěrdé Duōmiàntǐ / Gēigaakyíhdāk Dōmihntái,0
Charti Berry,4,,Reduces damage from a super effective Rock-type move by 50%.,,FALSE,ヨロギのみ,Yorogi no Mi,Baie Charti,Chiaribeere,Baccaciofo,Baya Alcho,루미열매,Rumi Yeolmae,草蠶果 / 草蚕果,Cǎocán Guǒ / Chóuchàahm Gwó,0
Mega Bracelet,,,,,,メガバングル,Mega Bangle,Méga-Bracelet,Mega-Armreife,Megabracciale,Megapulsera,메가뱅글,Mega Bangle,超級手鐲 / 超级手镯,Chāojí Shǒuzhuó / Chīukāp Sáujuhk,0
Mega Cuff,,,,,,メガブレス,Mega Brace,Méga-Manchette,Mega-Armbänder,Megapolsiera,Megabrazalete,메가블레스,Mega Brace,超級護腕 / 超级护腕,Chāojí Hùwàn / Chīukāp Wuhwún,0
Psychium Z,7,,Allows a Pokémon to upgrade their Psychic-type damaging moves to the Z-Move Shattered Psyche or upgrade their Psychic-type status moves into Z-Moves. Makes Arceus a Psychic-type Pokémon.,,FALSE,エスパーＺ,Esper-Z,Psychézélite,Psium Z,Psichium Z,Psicostal Z,에스퍼Z,Esper-Z,超能力Ｚ,Chāonénglì-Z / Chīunàhnglihk-Z,0
Shuca Berry,4,,Reduces damage taken from a super effective Ground-type move.,,FALSE,シュカのみ,Shuca no Mi,Baie Jouca,Schukebeere,Baccanaca,Baya Acardo,슈캐열매,Shewca Yeolmae,腰木果,Yāomù Guǒ / Yīumuhk Gwó,0
Gold Bottle Cap,7,,Can be traded to Mr. Hyper to maximize all of a Pokémon's IVs in Hyper Training.,,FALSE,きんのおうかん,Kin no Ōkan,Capsule d'Or,Goldkronkorken,Tappo d'oro,Chapa Dorada,금왕관,Geum Wanggwan,金色王冠,Jīnsè Wángguān / Gāmsīk Wòhnggūn,0
Thick Club,3,,Doubles Cubone and Marowak's Attack.,,FALSE,ふといホネ,Futoi Hone,Masse Os,Kampfknochen,Ossospesso,Hueso Grueso,굵은뼈,Gulgeun Ppyeo,粗骨頭 / 粗骨头,Cū Gǔtou / Chōu Gwāttàuh,0
Expert Belt,4,,Increases the power of super effective moves.,,FALSE,たつじんのおび,Tatsujin no Obi,Ceinture Pro,Expertengurt,Abilcintura,Cinta Experto,달인의띠,Darinui Tti,達人帶 / 达人带,Dárén Dài / Daahtyàhn Daai,0
Dawn Stone,4,,Allows Kirlia (♂) and Snorunt (♀) to evolve.,,FALSE,めざめいし,Mezame Ishi,Pierre Aube,Funkelstein,Pietralbore,Piedra Alba,각성의돌,Gakseong-ui Dol,覺醒之石 / 觉醒之石,Juéxǐng-zhī Shí / Gokséng-jī Sehk,0
Soothe Bell,2,,Causes the holder to gain friendship more quickly.,,FALSE,やすらぎのすず,Yasuragi no Suzu,Grelot Zen,Sanftglocke,Calmanella,Campana Alivio,평온의방울,Pyeong'on-ui Bang-ul,安撫之鈴 / 安抚之铃,Ānfǔ-zhī Líng / Ōnfú-jī Lìhng,0
Blazikenite,6,,Allows Blaziken to Mega Evolve into Mega Blaziken.,,FALSE,バシャーモナイト,Bursyamonite,Braségalite,Lohgocknit,Blazikenite,Blazikenita,번치코나이트,Bunchikonite,火焰雞進化石 / 火焰鸡进化石,Huǒyànjī Jìnhuà Shí / Fóyihmgāi Jeunfa Sehk,0
Nutpea Berry,3,,Pokéblock ingredient. It will become an Enigma Berry if transferred to Generation IV via Pal Park.,,FALSE,,,,,,,,,,,
Nomel Berry,3,,Pokéblock and Poffin ingredient.,,FALSE,ノメルのみ,Nomel no Mi,Baie Tronci,Tronzibeere,Baccalemon,Baya Monli,노멜열매,Nomel Yeolmae,檬檸果 / 檬柠果,Méngníng Guǒ / Mūngnìhng Gwó,0
Misty Seed,7,,A one-time use item that raises the holder's Sp. Defense by one stage upon activation of Misty Terrain.,,FALSE,ミストシード,Mist Seed,Graine Brume,Nebel-Samen,Nebbiaseme,Semilla Bruma,미스트시드,Mist Seed,薄霧種子 / 薄雾种子,Bówù Zhǒngzi / Báowù Zhǒngzi / Bohkmouh Júngjí,0
Makeup Bag,7,,A case for carrying lipsticks.,,FALSE,コスメポーチ,Cosmetics Pouch,Trousse Beauté,Kosmetiketui,Trousse,Kit Maquillaje,코스메틱파우치,Cosmetics Pouch,化妝包 / 化妆包,Huàzhuāng Bāo / Fajōng Bāau,0
Burnt Berry,2,,Thaws out a frozen Pokémon.,,FALSE,やけたきのみ,Yaketa Kino Mi,Baie Brulure,Brandbeere,Bacca Bruc.,Antiquembaya,불탄나무열매,Bultan Namu Yeolmae,,,0
Squirt Bottle,,,,,,ゼニガメじょうろ,Zenigame Jōro,Carapuce à O,Schiggykanne,Annaffiatoio,Regadera,꼬부기물뿌리개,Kkobugi Mulppurigae,傑尼龜噴壺 / 杰尼龟喷壶,Jiéníguī Pēnhú / Gihtnèihgwāi Panwùh,1024
Heart Mail,4,,Mail with a heart pattern. To be held by a Pokémon for delivery.,,FALSE,ラブラブメール,Love-Love Mail,Lettre Coeur,Rosabrief,Mess. Cuore,Car. Corazón,러브러브메일,Love-Love Mail,,,0
